Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
115.764358;84.856089;-0.432920;0.896962;0.089658
275.331307;36.995026;0.055911;-0.599143;0.798688
22.363933;168.797459;0.179665;0.073920;-0.980947
305.161287;131.353918;0.432280;-0.613676;-0.660708
328.554382;133.682337;0.616971;-0.377275;-0.690660
192.006919;62.865221;-0.870467;-0.185133;0.456085
299.871383;150.693734;0.243787;-0.424449;-0.872016
133.637202;112.304653;-0.638456;0.669574;-0.379531
122.133740;44.546599;-0.373120;0.594027;0.712680
135.346800;93.078557;-0.710347;0.701800;-0.053705
302.177849;9.529336;0.088165;-0.140124;0.986201
156.782870;109.845172;-0.864440;0.370806;-0.339480
248.445119;168.902854;-0.070713;-0.179013;-0.981302
13.620101;100.449800;0.955759;0.231577;-0.181374
53.551648;79.043193;0.583268;0.789729;0.190069
