Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
257.181080;58.718362;-0.189616;-0.833325;0.519245
301.011634;88.938381;0.515124;-0.856916;0.018528
171.267444;84.142845;-0.983248;0.151030;0.102049
234.483846;73.525804;-0.557084;-0.780537;0.283584
297.000209;134.222399;0.325349;-0.638528;-0.697445
138.189810;126.184684;-0.601592;0.538077;-0.590390
132.101084;129.114442;-0.520186;0.575680;-0.630871
283.201998;120.742730;0.196290;-0.836756;-0.511184
301.085631;135.459155;0.362155;-0.600692;-0.712751
310.824330;120.517310;0.563183;-0.651894;-0.507799
128.934964;128.246598;-0.493546;0.610895;-0.619047
231.312767;142.947840;-0.376630;-0.470326;-0.798087
290.299705;49.517733;0.263878;-0.713366;0.649213
201.001810;124.438366;-0.769947;-0.295583;-0.565519
69.069091;51.033582;0.277761;0.726208;0.628865
