Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
254.524088;77.074555;-0.260072;-0.939323;0.223683
147.291768;78.084909;-0.823304;0.528719;0.206462
323.265752;29.867928;0.399108;-0.297857;0.867176
35.140314;121.695485;0.695780;0.489734;-0.525405
149.669403;88.905171;-0.862968;0.504896;0.019107
60.619601;78.479709;0.480722;0.853827;0.199715
79.799660;111.549732;0.164712;0.915398;-0.367309
305.468475;78.406361;0.568416;-0.797818;0.200969
7.484988;72.531910;0.945756;0.124259;0.300175
221.265853;84.948392;-0.748738;-0.656992;0.088053
253.818943;160.279100;-0.094035;-0.324071;-0.941348
260.548274;122.845655;-0.137964;-0.828729;-0.542378
80.169122;148.607215;0.088939;0.513253;-0.853616
322.805455;50.563184;0.615225;-0.466889;0.635227
343.527037;139.198380;0.626621;-0.185292;-0.756977
