Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
285.697882;170.510414;0.044608;-0.158719;-0.986316
116.183044;103.631049;-0.428812;0.872113;-0.235669
268.966552;80.754559;-0.017802;-0.986849;0.160664
301.851021;146.120503;0.294172;-0.473509;-0.830212
288.876687;55.983620;0.268169;-0.784298;0.559430
196.276433;133.465146;-0.696704;-0.203419;-0.687913
309.671633;30.898978;0.327828;-0.395269;0.858074
91.883301;16.323961;-0.009237;0.280916;0.959688
15.653839;159.948403;0.330149;0.092514;-0.939384
328.385149;68.558613;0.792654;-0.487927;0.365549
227.229300;103.921223;-0.659120;-0.712515;-0.240588
161.975202;55.686814;-0.785432;0.255578;0.563716
273.955127;49.486232;0.052438;-0.758439;0.649631
6.281683;167.211664;0.220021;0.024219;-0.975194
357.641208;49.103951;0.755258;-0.031111;0.654689
