Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
80.465828;106.393192;0.158902;0.946096;-0.282227
109.386423;135.033608;-0.234578;0.666623;-0.707521
335.629315;95.360505;0.906911;-0.410834;-0.093422
1.190509;95.083209;0.995852;0.020695;-0.088602
350.312669;36.484630;0.586128;-0.100055;0.804016
147.765282;64.584878;-0.764009;0.481769;0.429174
174.705131;53.868319;-0.804218;0.074532;0.589643
350.407568;70.340284;0.928540;-0.156925;0.336433
328.280624;93.212930;0.849296;-0.524933;-0.056047
194.823231;93.417470;-0.965001;-0.255383;-0.059611
168.026826;107.556350;-0.932679;0.197791;-0.301644
301.083815;146.045711;0.288365;-0.478333;-0.829483
346.681893;88.418319;0.972735;-0.230270;0.027602
41.647234;27.478232;0.344790;0.306628;0.887186
242.416516;41.986600;-0.309754;-0.592921;0.743301
