Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
305.456898;77.837268;0.567069;-0.796268;0.210689
91.975696;81.114526;-0.034062;0.987412;0.154460
234.547628;133.698171;-0.419353;-0.588946;-0.690859
254.284349;85.598639;-0.270065;-0.959779;0.076743
131.040590;135.024755;-0.464081;0.533101;-0.707412
138.536809;118.459661;-0.658821;0.582121;-0.476540
22.947134;144.855950;0.530081;0.224429;-0.817707
354.834552;55.143505;0.817254;-0.073879;0.571523
38.413105;51.387834;0.612258;0.485497;0.624046
308.734343;11.102482;0.120490;-0.150211;0.981284
90.175176;72.487111;-0.002916;0.953645;0.300920
67.393545;146.124042;0.214263;0.514570;-0.830246
193.554671;45.118757;-0.688835;-0.166070;0.705640
213.064069;74.107075;-0.806026;-0.524722;0.273840
22.871929;80.158763;0.907818;0.382953;0.170919
