Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
248.926513;159.628487;-0.125167;-0.324825;-0.937455
281.444987;64.236566;0.178703;-0.882689;0.434656
144.629035;81.475452;-0.806413;0.572473;0.148233
262.362886;127.310511;-0.105702;-0.788307;-0.606134
76.753393;35.393877;0.132718;0.563783;0.815190
162.388964;22.009242;-0.357192;0.113384;0.927123
86.094745;92.311959;0.068051;0.996866;-0.040340
117.474411;74.175402;-0.443868;0.853592;0.272693
267.779175;57.932541;-0.032839;-0.846787;0.530917
0.159368;67.589118;0.924470;0.002571;0.381246
319.792204;147.074388;0.415113;-0.350895;-0.839377
210.825758;82.236300;-0.850858;-0.507732;0.135088
85.991092;38.479465;0.043501;0.620712;0.782831
240.309641;104.996620;-0.478443;-0.839127;-0.258762
307.289730;155.736966;0.248958;-0.326926;-0.911669
