Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
10.849528;55.679262;0.811131;0.155458;0.563825
115.206972;50.496789;-0.328612;0.698115;0.636121
348.035542;170.100472;0.168186;-0.035640;-0.985111
181.342696;93.009473;-0.998347;-0.023400;-0.052501
143.802057;19.124363;-0.264383;0.193485;0.944810
325.023912;56.557781;0.683735;-0.478331;0.551096
223.163973;68.371512;-0.678044;-0.635924;0.368587
65.709097;59.227840;0.353452;0.783142;0.511625
137.439965;23.382614;-0.292322;0.268428;0.917875
330.601864;119.731023;0.756544;-0.426258;-0.495929
53.096487;73.411527;0.575478;0.766367;0.285496
62.543312;124.364337;0.380604;0.732484;-0.564453
199.254367;141.937678;-0.582033;-0.203305;-0.787341
68.345829;75.098033;0.356593;0.898169;0.257166
55.299036;65.112337;0.516426;0.745787;0.420841
