Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
219.449092;139.967412;-0.496690;-0.408699;-0.765679
171.353431;108.118883;-0.939611;0.142884;-0.310990
62.744424;136.790676;0.313550;0.608649;-0.728857
350.025489;65.459111;0.895915;-0.157563;0.415343
89.896570;66.336967;0.001653;0.915920;0.401357
214.033806;134.237569;-0.593730;-0.400986;-0.697635
268.266971;74.702009;-0.029171;-0.964125;0.263839
11.295266;178.698667;0.022271;0.004448;-0.999742
204.254093;101.749618;-0.892629;-0.402177;-0.203635
161.372811;32.655675;-0.511324;0.172350;0.841928
112.914704;88.271211;-0.389183;0.920666;0.030168
125.318269;67.277474;-0.533248;0.752624;0.386269
274.387655;109.011210;0.072331;-0.942684;-0.325753
3.692566;61.754858;0.879102;0.056734;0.473245
224.335393;45.308067;-0.508478;-0.496817;0.703295
