Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
168.474593;69.496350;-0.917763;0.187145;0.350267
53.348340;91.130893;0.596832;0.802123;-0.019737
102.236315;64.193578;-0.190807;0.879817;0.435332
266.313020;24.617336;-0.026787;-0.415694;0.909110
331.009140;118.490025;0.768771;-0.425977;-0.477006
25.812629;97.859882;0.891766;0.431339;-0.136751
307.505552;43.193892;0.416731;-0.542986;0.729042
13.894527;90.349121;0.970721;0.240131;-0.006093
257.962229;120.907435;-0.178941;-0.839131;-0.513653
255.279977;120.308046;-0.219367;-0.834990;-0.504649
11.900467;134.458538;0.698417;0.147185;-0.700393
43.820912;58.940121;0.618064;0.593135;0.515934
212.472869;95.698679;-0.839476;-0.534247;-0.099297
97.512543;120.182780;-0.113018;0.857006;-0.502760
316.951574;16.594513;0.208707;-0.194953;0.958350
