Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
150.522875;42.096526;-0.583602;0.329879;0.742016
123.732618;96.459696;-0.551792;0.826358;-0.112504
114.332231;58.561163;-0.351540;0.777409;0.521588
161.980038;22.031201;-0.356712;0.116040;0.926980
317.961561;48.168108;0.553386;-0.498944;0.666947
35.142501;129.917916;0.627165;0.441474;-0.641689
91.695907;98.337355;-0.029282;0.988998;-0.145001
307.516504;22.047599;0.228601;-0.297741;0.926872
34.004066;148.489238;0.433283;0.292298;-0.852542
311.414295;28.554006;0.316188;-0.358464;0.878367
190.591574;129.462496;-0.758887;-0.141906;-0.635573
314.593283;40.183041;0.452997;-0.459475;0.763987
21.105072;96.156411;0.927541;0.358003;-0.107243
349.491131;128.638880;0.767995;-0.142462;-0.624410
316.136253;124.098121;0.597036;-0.573814;-0.560612
