Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
83.017225;84.216277;0.120952;0.987530;0.100774
268.940962;157.871853;-0.006962;-0.376615;-0.926344
330.411436;141.107470;0.545984;-0.310018;-0.778325
56.038229;120.939823;0.479150;0.711392;-0.514138
196.031808;89.005824;-0.960964;-0.276129;0.017351
354.700511;59.160463;0.854936;-0.079302;0.512635
104.979996;29.044058;-0.125488;0.468983;0.874247
73.372725;99.905181;0.281879;0.943904;-0.172018
62.568751;59.551557;0.397149;0.765156;0.506763
132.261886;117.941123;-0.594124;0.653807;-0.468564
8.381775;57.168114;0.831290;0.122484;0.542176
200.111431;82.645528;-0.931300;-0.341018;0.128008
134.483554;133.617145;-0.507286;0.516514;-0.689836
16.394739;51.592400;0.751749;0.221177;0.621252
330.982513;63.819853;0.784761;-0.435313;0.441195
