Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
79.113045;109.219910;0.178345;0.927267;-0.329195
198.129859;69.817962;-0.892003;-0.292066;0.345004
291.776264;85.810881;0.369992;-0.926159;0.073049
41.893832;99.752318;0.733627;0.658103;-0.169389
99.189125;75.073631;-0.154305;0.953857;0.257578
87.755876;99.321946;0.038640;0.986037;-0.161982
8.762617;86.052892;0.985984;0.151980;0.068836
321.557614;45.728644;0.560828;-0.445183;0.698057
353.920468;94.710756;0.991017;-0.105551;-0.082126
315.072000;58.797111;0.605575;-0.604055;0.518070
359.183831;106.729742;0.957576;-0.013641;-0.287858
155.716532;51.840279;-0.716722;0.323363;0.617856
95.460262;154.532144;-0.040917;0.428053;-0.902827
341.253006;118.428429;0.832757;-0.282634;-0.476061
251.829981;41.307528;-0.205844;-0.627185;0.751177
