Theta_deg;Phi_deg;Dir_X;Dir_Y;Dir_Z
156.942797;7.499246;-0.120087;0.051115;0.991447
39.351787;44.579613;0.542756;0.445061;0.712276
40.956399;57.223890;0.634974;0.551126;0.541358
252.202418;37.075802;-0.184271;-0.574019;0.797839
145.744559;136.902077;-0.564729;0.384589;-0.730187
68.856917;36.373366;0.213910;0.553122;0.805170
53.747233;46.094541;0.426058;0.581011;0.693470
196.901938;86.869739;-0.955376;-0.290301;0.054606
241.675685;141.810037;-0.293346;-0.544249;-0.785965
295.986146;48.732429;0.329333;-0.675647;0.659576
77.328501;162.249578;0.066877;0.297446;-0.952394
103.111960;44.137122;-0.157977;0.678222;0.717675
41.729809;123.216744;0.624351;0.556859;-0.547808
196.831452;83.612221;-0.951218;-0.287760;0.111257
256.752670;107.211784;-0.218893;-0.929799;-0.295905
